tenant	sha	localAhead	capability	status	target	migration	paths	pathDecisions	targetSymbols	subject	decisionBasis	proofCommand
csmostrava2026	18edfcd33e49be6de601e2b767b25baf9949fa14	no	tenant-brand-config	tenant-overlay	csmostrava2026-overlay	no	assets/icons/fstappicon.png;assets/icons/fstapplogo.dark.svg;assets/icons/fstapplogo.png;assets/icons/fstapplogo.svg;lib/app_config.dart;lib/pages/occasion/news_page.dart;lib/pages/occasion/occasion_home_page.dart;lib/theme_config.dart;lib/widgets/logo_widget.dart;web/apple-touch-icon.png;web/browserconfig.xml;web/favicon-16x16.png;web/favicon-32x32.png;web/favicon-96x96.png;web/favicon.ico;web/favicon.svg;web/fstapplogo.png;web/index.html;web/mstile-150x150.png;web/safari-pinned-tab.svg;web/site.webmanifest;web/web-app-manifest-192x192.png;web/web-app-manifest-512x512.png	assets/icons/fstappicon.png=>tenant-overlay(survives-different-at-source-tip);assets/icons/fstapplogo.dark.svg=>obsolete-by-revert(deleted-at-source-tip);assets/icons/fstapplogo.png=>tenant-overlay(survives-different-at-source-tip);assets/icons/fstapplogo.svg=>obsolete-by-revert(deleted-at-source-tip);lib/app_config.dart=>tenant-overlay(survives-different-at-source-tip);lib/pages/occasion/news_page.dart=>obsolete-by-revert(same-as-base-at-source-tip);lib/pages/occasion/occasion_home_page.dart=>obsolete-by-revert(same-as-base-at-source-tip);lib/theme_config.dart=>tenant-overlay(survives-different-at-source-tip);lib/widgets/logo_widget.dart=>obsolete-by-revert(same-as-base-at-source-tip);web/apple-touch-icon.png=>tenant-overlay(survives-different-at-source-tip);web/browserconfig.xml=>obsolete-by-revert(deleted-at-source-tip);web/favicon-16x16.png=>obsolete-by-revert(deleted-at-source-tip);web/favicon-32x32.png=>obsolete-by-revert(deleted-at-source-tip);web/favicon-96x96.png=>tenant-overlay(survives-different-at-source-tip);web/favicon.ico=>tenant-overlay(survives-different-at-source-tip);web/favicon.svg=>tenant-overlay(survives-different-at-source-tip);web/fstapplogo.png=>tenant-overlay(survives-different-at-source-tip);web/index.html=>tenant-overlay(survives-different-at-source-tip);web/mstile-150x150.png=>obsolete-by-revert(deleted-at-source-tip);web/safari-pinned-tab.svg=>obsolete-by-revert(deleted-at-source-tip);web/site.webmanifest=>tenant-overlay(survives-different-at-source-tip);web/web-app-manifest-192x192.png=>tenant-overlay(survives-different-at-source-tip);web/web-app-manifest-512x512.png=>tenant-overlay(survives-different-at-source-tip)	tenant overlay source inputs and generated write-set; targetPaths=assets/icons/fstappicon.png,assets/icons/fstapplogo.png,lib/app_config.dart,lib/theme_config.dart,web/apple-touch-icon.png,web/favicon-96x96.png,web/favicon.ico,web/favicon.svg,web/fstapplogo.png,web/index.html,web/site.webmanifest,web/web-app-manifest-192x192.png,web/web-app-manifest-512x512.png	initial	first-parent path decisions; mergeParents=1	bash automation/tests/tenant_config_matrix.test.sh && bash automation/tests/tenant_branch_drift.test.sh
csmostrava2026	722d47b724f03cfb1c277bd1fd99d3ab6b025675	no	tenant-brand-config	tenant-overlay	csmostrava2026-overlay	no	lib/app_config.dart	lib/app_config.dart=>tenant-overlay(survives-different-at-source-tip)	tenant overlay source inputs and generated write-set; targetPaths=lib/app_config.dart	org changed	first-parent path decisions; mergeParents=1	bash automation/tests/tenant_config_matrix.test.sh && bash automation/tests/tenant_branch_drift.test.sh
csmostrava2026	eef9335566516c560145b8eed42177ad29521dd7	no	schedule	tenant-overlay	csmostrava2026-overlay	no	lib/components/timeline/schedule_tab_view.dart;lib/pages/occasion/schedule_page.dart;lib/theme_config.dart	lib/components/timeline/schedule_tab_view.dart=>obsolete-by-revert(same-as-base-at-source-tip);lib/pages/occasion/schedule_page.dart=>obsolete-by-revert(same-as-base-at-source-tip);lib/theme_config.dart=>tenant-overlay(survives-different-at-source-tip)	schedule timeline;event duration;reload coordinator; targetPaths=lib/theme_config.dart	Merge branch 'main' into prod/jubileum2025	first-parent path decisions; mergeParents=2	fvm flutter test test/components/schedule
csmostrava2026	dd2ec884a16730a594dbc0a9343a88878bb28ed4	no	tenant-brand-config	tenant-overlay	csmostrava2026-overlay	no	lib/theme_config.dart	lib/theme_config.dart=>tenant-overlay(survives-different-at-source-tip)	tenant overlay source inputs and generated write-set; targetPaths=lib/theme_config.dart	dark mode off	first-parent path decisions; mergeParents=1	bash automation/tests/tenant_config_matrix.test.sh && bash automation/tests/tenant_branch_drift.test.sh
csmostrava2026	8594a56a7f6441928496c62ea2219cf1169f4976	no	forms-orders-integrations	promote	main-candidate	no	lib/app_config.dart;lib/app_router.dart;lib/app_router.gr.dart;lib/components/blueprint/blueprint_model.dart;lib/components/blueprint/get_orders_helper.dart;lib/components/features/feature_service.dart;lib/data_models/form_field_model.dart;lib/data_models/tb.dart;lib/data_models_eshop/order_model.dart;lib/data_models_eshop/tb_eshop.dart;lib/data_services_eshop/db_forms.dart;lib/data_services_eshop/db_orders.dart;lib/dialogs/occasion_detail_dialog.dart;lib/main.dart;lib/pages/eshop/eshop_columns.dart;lib/pages/eshop/order_preview_screen.dart;lib/pages/form/models/field_holder.dart;lib/pages/form/models/form_holder.dart;lib/pages/form/pages/form_page.dart;lib/pages/form/widgets_editor/birth_date_editor.dart;lib/pages/form/widgets_view/birth_date_field_builder.dart;lib/pages/form/widgets_view/check_box_field_builder.dart;lib/pages/form/widgets_view/form_helper.dart;lib/pages/occasion/occasion_home_page.dart;lib/pages/occasionAdmin/admin_page.dart;lib/pages/unit/unit_page.dart;lib/services/html_helper.dart;pubspec.yaml;scripts/functions/eshop_orders/get_orders.sql;scripts/functions/others/get_app_config.sql	lib/app_config.dart=>tenant-overlay(survives-different-at-source-tip);lib/app_router.dart=>promote(survives-different-at-source-tip);lib/app_router.gr.dart=>promote(survives-different-at-source-tip);lib/components/blueprint/blueprint_model.dart=>obsolete-by-revert(same-as-base-at-source-tip);lib/components/blueprint/get_orders_helper.dart=>obsolete-by-revert(same-as-base-at-source-tip);lib/components/features/feature_service.dart=>obsolete-by-revert(same-as-base-at-source-tip);lib/data_models/form_field_model.dart=>obsolete-by-revert(same-as-base-at-source-tip);lib/data_models/tb.dart=>obsolete-by-revert(same-as-base-at-source-tip);lib/data_models_eshop/order_model.dart=>obsolete-by-revert(same-as-base-at-source-tip);lib/data_models_eshop/tb_eshop.dart=>obsolete-by-revert(same-as-base-at-source-tip);lib/data_services_eshop/db_forms.dart=>obsolete-by-revert(same-as-base-at-source-tip);lib/data_services_eshop/db_orders.dart=>obsolete-by-revert(same-as-base-at-source-tip);lib/dialogs/occasion_detail_dialog.dart=>obsolete-by-revert(same-as-base-at-source-tip);lib/main.dart=>promote(survives-different-at-source-tip);lib/pages/eshop/eshop_columns.dart=>obsolete-by-revert(same-as-base-at-source-tip);lib/pages/eshop/order_preview_screen.dart=>obsolete-by-revert(same-as-base-at-source-tip);lib/pages/form/models/field_holder.dart=>obsolete-by-revert(same-as-base-at-source-tip);lib/pages/form/models/form_holder.dart=>obsolete-by-revert(same-as-base-at-source-tip);lib/pages/form/pages/form_page.dart=>obsolete-by-revert(same-as-base-at-source-tip);lib/pages/form/widgets_editor/birth_date_editor.dart=>obsolete-by-revert(same-as-base-at-source-tip);lib/pages/form/widgets_view/birth_date_field_builder.dart=>obsolete-by-revert(same-as-base-at-source-tip);lib/pages/form/widgets_view/check_box_field_builder.dart=>obsolete-by-revert(same-as-base-at-source-tip);lib/pages/form/widgets_view/form_helper.dart=>obsolete-by-revert(same-as-base-at-source-tip);lib/pages/occasion/occasion_home_page.dart=>obsolete-by-revert(same-as-base-at-source-tip);lib/pages/occasionAdmin/admin_page.dart=>obsolete-by-revert(same-as-base-at-source-tip);lib/pages/unit/unit_page.dart=>obsolete-by-revert(same-as-base-at-source-tip);lib/services/html_helper.dart=>obsolete-by-revert(same-as-base-at-source-tip);pubspec.yaml=>tenant-overlay(survives-different-at-source-tip);scripts/functions/eshop_orders/get_orders.sql=>obsolete-by-revert(same-as-base-at-source-tip);scripts/functions/others/get_app_config.sql=>obsolete-by-revert(same-as-base-at-source-tip)	product type description;order command identity;Fakturoid EUR/CZK;generate-order-agreement; targetPaths=lib/app_config.dart,lib/app_router.dart,lib/app_router.gr.dart,lib/main.dart,pubspec.yaml	Merge branch 'main' into prod/jubileum2025	first-parent path decisions; mergeParents=2	node --test web_client/tests/forms/product_type_description.test.js web_client/tests/components/db_orders_command_identity.test.js && deno test --allow-env --allow-net --allow-read supabase/functions/send-ticket-order/fakturoid_test.ts supabase/functions/generate-order-agreement/agreementConfig_test.ts
csmostrava2026	ac10bb0ae469725aa65f2a98d14d81c3cde0ae2b	no	auth-reception-users	tenant-overlay	csmostrava2026-overlay	no	.fvmrc;.github/workflows/web.yml;.vscode/settings.json;howto.md;lib/components/blueprint/get_orders_helper.dart;lib/components/features/feature.dart;lib/components/features/feature_constants.dart;lib/components/features/feature_form.dart;lib/data_models/form_model.dart;lib/data_models/form_option_product_model.dart;lib/data_models/form_response_model.dart;lib/data_models_eshop/bank_account_model.dart;lib/data_models_eshop/order_model.dart;lib/data_models_eshop/product_model.dart;lib/data_models_eshop/tb_eshop.dart;lib/data_services/db_occasions.dart;lib/data_services_eshop/db_orders.dart;lib/pages/eshop/eshop_columns.dart;lib/pages/eshop/order_preview_screen.dart;lib/pages/form/models/form_holder.dart;lib/pages/form/pages/form_page.dart;lib/pages/form/pages/form_responses_content.dart;lib/pages/form/widgets_editor/product_type_editor.dart;lib/pages/form/widgets_editor/ticket_editor_widgets.dart;lib/pages/form/widgets_editor/ticket_product_editor_row.dart;lib/pages/form/widgets_view/option_field_helper.dart;lib/pages/occasion/scan_page.dart;lib/pages/unit/occasions_screen.dart;lib/services/utilities_all.dart;netlify.toml;pubspec.yaml;scripts/functions/eshop/create_ticket_order.sql;scripts/functions/eshop/get_form_from_link.sql;scripts/functions/eshop/get_form_from_link_for_edit.sql;scripts/functions/eshop/update_form.sql;scripts/functions/eshop_orders/get_orders.sql;scripts/functions/others/get_all_occasions.sql;scripts/functions/others/get_all_occasions_for_edit.sql;scripts/functions/others/get_unit.sql;scripts/functions/others/update_occasion.sql;scripts/functions/users/add_user_to_occasion.sql;scripts/tables/tables.sql	.fvmrc=>obsolete-by-revert(same-as-base-at-source-tip);.github/workflows/web.yml=>obsolete-by-revert(deleted-at-source-tip);.vscode/settings.json=>obsolete-by-revert(same-as-base-at-source-tip);howto.md=>obsolete-by-revert(same-as-base-at-source-tip);lib/components/blueprint/get_orders_helper.dart=>obsolete-by-revert(same-as-base-at-source-tip);lib/components/features/feature.dart=>obsolete-by-revert(same-as-base-at-source-tip);lib/components/features/feature_constants.dart=>obsolete-by-revert(same-as-base-at-source-tip);lib/components/features/feature_form.dart=>obsolete-by-revert(same-as-base-at-source-tip);lib/data_models/form_model.dart=>obsolete-by-revert(same-as-base-at-source-tip);lib/data_models/form_option_product_model.dart=>obsolete-by-revert(same-as-base-at-source-tip);lib/data_models/form_response_model.dart=>obsolete-by-revert(same-as-base-at-source-tip);lib/data_models_eshop/bank_account_model.dart=>obsolete-by-revert(same-as-base-at-source-tip);lib/data_models_eshop/order_model.dart=>obsolete-by-revert(same-as-base-at-source-tip);lib/data_models_eshop/product_model.dart=>obsolete-by-revert(same-as-base-at-source-tip);lib/data_models_eshop/tb_eshop.dart=>obsolete-by-revert(same-as-base-at-source-tip);lib/data_services/db_occasions.dart=>obsolete-by-revert(same-as-base-at-source-tip);lib/data_services_eshop/db_orders.dart=>obsolete-by-revert(same-as-base-at-source-tip);lib/pages/eshop/eshop_columns.dart=>obsolete-by-revert(same-as-base-at-source-tip);lib/pages/eshop/order_preview_screen.dart=>obsolete-by-revert(same-as-base-at-source-tip);lib/pages/form/models/form_holder.dart=>obsolete-by-revert(same-as-base-at-source-tip);lib/pages/form/pages/form_page.dart=>obsolete-by-revert(same-as-base-at-source-tip);lib/pages/form/pages/form_responses_content.dart=>obsolete-by-revert(same-as-base-at-source-tip);lib/pages/form/widgets_editor/product_type_editor.dart=>obsolete-by-revert(same-as-base-at-source-tip);lib/pages/form/widgets_editor/ticket_editor_widgets.dart=>obsolete-by-revert(same-as-base-at-source-tip);lib/pages/form/widgets_editor/ticket_product_editor_row.dart=>obsolete-by-revert(same-as-base-at-source-tip);lib/pages/form/widgets_view/option_field_helper.dart=>obsolete-by-revert(same-as-base-at-source-tip);lib/pages/occasion/scan_page.dart=>obsolete-by-revert(same-as-base-at-source-tip);lib/pages/unit/occasions_screen.dart=>obsolete-by-revert(same-as-base-at-source-tip);lib/services/utilities_all.dart=>obsolete-by-revert(same-as-base-at-source-tip);netlify.toml=>obsolete-by-revert(same-as-base-at-source-tip);pubspec.yaml=>tenant-overlay(survives-different-at-source-tip);scripts/functions/eshop/create_ticket_order.sql=>obsolete-by-revert(same-as-base-at-source-tip);scripts/functions/eshop/get_form_from_link.sql=>obsolete-by-revert(same-as-base-at-source-tip);scripts/functions/eshop/get_form_from_link_for_edit.sql=>obsolete-by-revert(same-as-base-at-source-tip);scripts/functions/eshop/update_form.sql=>obsolete-by-revert(same-as-base-at-source-tip);scripts/functions/eshop_orders/get_orders.sql=>obsolete-by-revert(same-as-base-at-source-tip);scripts/functions/others/get_all_occasions.sql=>obsolete-by-revert(same-as-base-at-source-tip);scripts/functions/others/get_all_occasions_for_edit.sql=>obsolete-by-revert(same-as-base-at-source-tip);scripts/functions/others/get_unit.sql=>obsolete-by-revert(same-as-base-at-source-tip);scripts/functions/others/update_occasion.sql=>obsolete-by-revert(same-as-base-at-source-tip);scripts/functions/users/add_user_to_occasion.sql=>obsolete-by-revert(same-as-base-at-source-tip);scripts/tables/tables.sql=>obsolete-by-revert(same-as-base-at-source-tip)	reception login;account deletion;occasion-user permissions; targetPaths=pubspec.yaml	Merge branch 'main' into prod/jubileum2025	first-parent path decisions; mergeParents=2	fvm flutter test test/components/reception && deno test --allow-env --allow-net --allow-read supabase/functions/cancel-reception-registration/cancel_test.ts supabase/functions/_shared/accountDeletion_test.ts
csmostrava2026	14079eb07aebb6240fdc550822256cad643e73eb	no	map-platform	promote	main-candidate	no	assets/translations/cs.json;assets/translations/en.json;lib/app_router.dart;lib/components/map/map_page_helper.dart;lib/data_models/companion_model.dart;lib/data_models/exclusive_group_model.dart;lib/data_models/path_group_model.dart;lib/data_models/tb.dart;lib/data_models/user_info_model.dart;lib/data_services/DataExtensions.dart;lib/data_services/db_companions.dart;lib/data_services/db_places.dart;lib/data_services/offline_data_service.dart;lib/data_services/synchro_service.dart;lib/dialogs/companion_dialog.dart;lib/main.dart;lib/pages/occasion/check_page.dart;lib/pages/occasion/event_page.dart;lib/pages/occasion/map_page.dart;lib/pages/occasion/occasion_home_page.dart;lib/pages/occasionAdmin/exclusivity_content.dart;lib/pages/occasionAdmin/path_groups_content.dart;lib/pages/occasionAdmin/places_content.dart;lib/pages/occasionAdmin/places_tab.dart;scripts/policies/01_enable_security.sql;scripts/policies/02_policies.sql;scripts/tables/tables.sql	assets/translations/cs.json=>promote(survives-different-at-source-tip);assets/translations/en.json=>promote(survives-different-at-source-tip);lib/app_router.dart=>promote(survives-different-at-source-tip);lib/components/map/map_page_helper.dart=>promote(survives-different-at-source-tip);lib/data_models/companion_model.dart=>obsolete-by-revert(same-as-base-at-source-tip);lib/data_models/exclusive_group_model.dart=>obsolete-by-revert(same-as-base-at-source-tip);lib/data_models/path_group_model.dart=>obsolete-by-revert(same-as-base-at-source-tip);lib/data_models/tb.dart=>obsolete-by-revert(same-as-base-at-source-tip);lib/data_models/user_info_model.dart=>obsolete-by-revert(same-as-base-at-source-tip);lib/data_services/DataExtensions.dart=>obsolete-by-revert(same-as-base-at-source-tip);lib/data_services/db_companions.dart=>obsolete-by-revert(same-as-base-at-source-tip);lib/data_services/db_places.dart=>obsolete-by-revert(same-as-base-at-source-tip);lib/data_services/offline_data_service.dart=>obsolete-by-revert(same-as-base-at-source-tip);lib/data_services/synchro_service.dart=>obsolete-by-revert(same-as-base-at-source-tip);lib/dialogs/companion_dialog.dart=>obsolete-by-revert(same-as-base-at-source-tip);lib/main.dart=>promote(survives-different-at-source-tip);lib/pages/occasion/check_page.dart=>obsolete-by-revert(same-as-base-at-source-tip);lib/pages/occasion/event_page.dart=>obsolete-by-revert(same-as-base-at-source-tip);lib/pages/occasion/map_page.dart=>obsolete-by-revert(same-as-base-at-source-tip);lib/pages/occasion/occasion_home_page.dart=>obsolete-by-revert(same-as-base-at-source-tip);lib/pages/occasionAdmin/exclusivity_content.dart=>obsolete-by-revert(same-as-base-at-source-tip);lib/pages/occasionAdmin/path_groups_content.dart=>obsolete-by-revert(same-as-base-at-source-tip);lib/pages/occasionAdmin/places_content.dart=>obsolete-by-revert(same-as-base-at-source-tip);lib/pages/occasionAdmin/places_tab.dart=>obsolete-by-revert(same-as-base-at-source-tip);scripts/policies/01_enable_security.sql=>obsolete-by-revert(same-as-base-at-source-tip);scripts/policies/02_policies.sql=>obsolete-by-revert(same-as-base-at-source-tip);scripts/tables/tables.sql=>obsolete-by-revert(same-as-base-at-source-tip)	PublicMapSession;MapLibreMapSurface;offline map cache; targetPaths=assets/translations/cs.json,assets/translations/en.json,lib/app_router.dart,lib/components/map/map_page_helper.dart,lib/main.dart	Merge branch 'main' into prod/jubileum2025	first-parent path decisions; mergeParents=2	fvm flutter test test/components/map test/data_services/client_sync/occasion_media_cache_test.dart
csmostrava2026	ca280fe9f85dd52ee4506113db836b5f71bde6bd	no	map-platform	promote	main-candidate	no	lib/components/map/map_page_helper.dart;lib/pages/occasion/map_page.dart	lib/components/map/map_page_helper.dart=>promote(survives-different-at-source-tip);lib/pages/occasion/map_page.dart=>obsolete-by-revert(same-as-base-at-source-tip)	PublicMapSession;MapLibreMapSurface;offline map cache; targetPaths=lib/components/map/map_page_helper.dart	Merge branch 'main' into prod/jubileum2025	first-parent path decisions; mergeParents=2	fvm flutter test test/components/map test/data_services/client_sync/occasion_media_cache_test.dart
csmostrava2026	78d09d25dc5fac5f270cfea28dbc3fc9d1d8477b	no	forms-orders-integrations	promote	main-candidate	no	assets/translations/cs.json;assets/translations/en.json;assets/translations/uk.json;lib/data_models/form_response_model.dart;lib/data_models_eshop/product_model.dart;lib/data_models_eshop/ticket_model.dart;lib/data_services_eshop/db_eshop.dart;lib/data_services_eshop/db_tickets.dart;lib/dialogs/products_dialog.dart;lib/pages/eshop/eshop_columns.dart;lib/pages/eshop/tickets_tab.dart;lib/pages/form/pages/form_responses_content.dart;lib/pages/form/widgets_editor/ticket_product_editor_row.dart;lib/widgets/search_products_screen.dart;pubspec.yaml;scripts/functions/eshop_orders/get_products_for_ticket.sql;scripts/functions/eshop_orders/get_products_for_ticket_all_available.sql;scripts/functions/eshop_orders/update_ticket_products_ws.sql;scripts/tables/tables.sql	assets/translations/cs.json=>promote(survives-different-at-source-tip);assets/translations/en.json=>promote(survives-different-at-source-tip);assets/translations/uk.json=>promote(survives-different-at-source-tip);lib/data_models/form_response_model.dart=>obsolete-by-revert(same-as-base-at-source-tip);lib/data_models_eshop/product_model.dart=>obsolete-by-revert(same-as-base-at-source-tip);lib/data_models_eshop/ticket_model.dart=>obsolete-by-revert(same-as-base-at-source-tip);lib/data_services_eshop/db_eshop.dart=>obsolete-by-revert(same-as-base-at-source-tip);lib/data_services_eshop/db_tickets.dart=>obsolete-by-revert(same-as-base-at-source-tip);lib/dialogs/products_dialog.dart=>obsolete-by-revert(same-as-base-at-source-tip);lib/pages/eshop/eshop_columns.dart=>obsolete-by-revert(same-as-base-at-source-tip);lib/pages/eshop/tickets_tab.dart=>obsolete-by-revert(same-as-base-at-source-tip);lib/pages/form/pages/form_responses_content.dart=>obsolete-by-revert(same-as-base-at-source-tip);lib/pages/form/widgets_editor/ticket_product_editor_row.dart=>obsolete-by-revert(same-as-base-at-source-tip);lib/widgets/search_products_screen.dart=>obsolete-by-revert(same-as-base-at-source-tip);pubspec.yaml=>tenant-overlay(survives-different-at-source-tip);scripts/functions/eshop_orders/get_products_for_ticket.sql=>obsolete-by-revert(same-as-base-at-source-tip);scripts/functions/eshop_orders/get_products_for_ticket_all_available.sql=>obsolete-by-revert(same-as-base-at-source-tip);scripts/functions/eshop_orders/update_ticket_products_ws.sql=>obsolete-by-revert(same-as-base-at-source-tip);scripts/tables/tables.sql=>obsolete-by-revert(same-as-base-at-source-tip)	product type description;order command identity;Fakturoid EUR/CZK;generate-order-agreement; targetPaths=assets/translations/cs.json,assets/translations/en.json,assets/translations/uk.json,pubspec.yaml	Merge branch 'main' into prod/jubileum2025	first-parent path decisions; mergeParents=2	node --test web_client/tests/forms/product_type_description.test.js web_client/tests/components/db_orders_command_identity.test.js && deno test --allow-env --allow-net --allow-read supabase/functions/send-ticket-order/fakturoid_test.ts supabase/functions/generate-order-agreement/agreementConfig_test.ts
csmostrava2026	d1480cf00195d9b4cc711a29e46ee01fc10c2263	no	tenant-brand-config	tenant-overlay	csmostrava2026-overlay	no	lib/app_config.dart	lib/app_config.dart=>tenant-overlay(survives-different-at-source-tip)	tenant overlay source inputs and generated write-set; targetPaths=lib/app_config.dart	uk	first-parent path decisions; mergeParents=1	bash automation/tests/tenant_config_matrix.test.sh && bash automation/tests/tenant_branch_drift.test.sh
